date,time,creek,location,fish,observer,comments
2006-03-26,2PM,Schindler,Hwy 20,0,Barnes/Rett,"""creek water slightly cloudy--creek north of Hwy 20 looks ideal for spawning--weather is clear"""
2006-03-26,2:05PM,Schindler,4th St,0,Barnes/Rett,"""creek water slightly cloudy--creek north of Hwy 20 looks ideal for spawning--weather is clear"""
2006-03-26,2:10PM,Schindler,Lake St,0,Barnes/Rett,"""creek water slightly cloudy--creek north of Hwy 20 looks ideal for spawning--weather is clear"""
2006-03-26,2:20PM,Schindler,Konocti,0,Barnes/Rett,"""creek water slightly cloudy--creek north of Hwy 20 looks ideal for spawning--weather is clear"""
2006-03-27,1PM,Adobe,Bell Hill,500+,Devoto,"""I saw hundreds, if not thousands of chi both above and below the low water crossing of Adobe Creek by Bell Hill Road.  The water is quite swift and not all that clear and they were bunched around and next to the island upstream and to the sides of the discharge culverts downstream.  I watch them jumping to try to get into the water above the spill off out of the culvert.  Those that made the jump into the inside of the culvert were able to swim upstream to join their comradess.  Many failed to complete the jump.  They can actually jump quite high out of the water.  It is clear that the region justdownstream of the culvert needs to be raised to allow continuous swim upstram without having to jump over the small waterfall coming out of the culvert. """
2006-03-27,7:55AM,Adobe,Finley East,?,Smythe,"clear, cool. ""Appear to be spawning activity 100' upstream, hitch or carp?"""
2006-03-27,1:25PM,Clover,2nd St,0,Geary,NA
2006-03-27,NA,Cole,Clark Dr,0,Eutenier,"water ""opaque"""
2006-03-27,NA,Cole,ditch near Clark Dr (south of Green Acres),12-24,Eutenier,"none visible in creek itself, probably because water too murky"
2006-03-27,NA,Cole,Jeannie Lane (ditch),6,Rapalyea,seen by neighbor
2006-03-27,7:45AM,Kelsey,Quercus Bridge,0,Smythe,"clear, cool, water clarity 1'"
2006-03-27,1:50PM,Middle,Rancheria Rd,0,Geary,NA
2006-03-27,1PM,Robinson,Old Rancheria Br,0,Geary,"cold, overcast"
2006-03-28,1PM,Cole,Jeannie Lane (ditch),1,Rapalyea,NA
2006-03-30,7:25AM,Adobe,Finley East,0,Smythe,"cloudy, cool, visibility 1'"
2006-03-30,NA,Cole,Jeannie Lane (field),3,Rapalyea,NA
2006-03-30,7:15AM,Kelsey,Quercus Bridge,0,Smythe,"cloudy, cool, water clarity 1'"
2006-04-01,NA,Cole,Jeannie Lane (field),3,Rapalyea,NA
2006-04-02,1:15PM,Cole,where ditch empties into creek,25,Rapalyea,NA
2006-04-02,1:20PM,Cole,where ditch empties into creek ,4,Rapalyea,NA
2006-04-03,1:15PM,Cole,"Clark Dr, south ditch",1,Rapalyea,NA
2006-04-04,NA,Cole,"Clark Dr, north ditch",12,Rapalyea,NA
2006-04-04,3PM,Middle,Rancheria Rd,0,Morgan,"dirty water, high flow"
2006-04-05,3PM,Adobe,Bell Hill,2,Snider,"""saw 2 chi jump out of water in attempt to get into a culvert to proceed upstream"""
2006-04-05,NA,Adobe,Bell Hill (below crossing),1000+,Devoto,"""There are still thousands of hitch in Adobe Creek below the Bell Hill Crossing.  The water is quite murky and I have not seen any upstream of the crossing.  They could be there or they might have continued upstream or they might have been washed back downstream by the high flows.  But below the crossing they are throwing themselves against the concrete or into the outflow from the two main culverts, to no avail.  The flow is so strong through the two main culverts that even if they manage to jump over the water fall at the exit, they are washed back downstream.  The crossing and the culverts were clearly not designed for the benefit of migrating hitch.  The angle of the culvert to the horizontal should be less and there should be no drop off at the outlet of the culvert.  As it is at present, the very high velocity exiting the culvert, even at much lower flows, digs out a deep cavity in the stream bottom downstream of the culvert, thus causing a ""waterfall"" at the exit."" "
2006-04-05,11:30AM,Clover,Middle Creek Rd,0,Geary,can't see bottom
2006-04-05,NA,Cole,"Clark Dr, north ditch",9,Rapalyea,NA
2006-04-05,NA,Manning,Ackley,0,Snider,NA
2006-04-05,NA,Manning,Matthews,0,Snider,NA
2006-04-05,11:45AM,Middle,Hwy 20,0,Geary,muddy water
2006-04-05,11:55AM,Robinson,Old Rancheria Rd,0,Geary,NA
2006-04-06,7:25AM,Adobe,Finley East,0,Smythe,"sunny, cool, visibility 6"""
2006-04-06,11:20AM,Clover,2nd St,0,Geary,NA
2006-04-06,NA,Cole,where ditch empties into creek,30,Rapalyea,headed upstream
2006-04-06,NA,Cole,"ditch, upstream from outlet to creek",3,Rapalyea,"one struggling, two dying"
2006-04-06,7:15AM,Kelsey,Quercus Bridge,0,Smythe,"sunny, cool, water clarity 6"""
2006-04-06,11AM,Middle,Hwy 20,0,Geary,NA
2006-04-06,11:40AM,Robinson,Bridge Arbor Rd,0,Geary,NA
2006-04-07,12PM,Adobe,Bell Hill,100+,Geary,NA
2006-04-07,2:30PM,Adobe,Bell Hill,1000,Ishihara,leaping out of water
2006-04-07,6PM,Adobe,Bell Hill,0,Ishihara,NA
2006-04-07,1PM,Clover,2nd St,0,Geary,NA
2006-04-07,NA,Cole,at mouth of ditch,7,Rapalyea,"swimming upstream,"
2006-04-07,NA,Cole,ditch upstream from creek,5,Rapalyea,dying in shallow water
2006-04-07,1:15PM,Middle,Hwy 20,0,Geary,NA
2006-04-07,10AM,Middle,Rancheria Rd,0,Morgan,"dirty water, high flow"
2006-04-07,3PM,Middle,Rancheria Rd,0,Morgan,"dirty water, high flow"
2006-04-07,8:15AM,Morrison,Hwy 20,0,Barnes/Rett,"""water slightly cloudy with good clear gravel bottom and no weeds"""
2006-04-07,1:40PM,Robinson,Old Rancheria Br,0,Geary,NA
2006-04-08,9AM,McGaugh,Merritt,50,Windrem,"""A. Moorhead report"""
2006-04-09,5:20PM,Adobe,Merritt,100+,Windrem,"""hitch in creek: hard to count, can see fine"""
2006-04-09,NA,Cole,ditch,1,Rapalyea,NA
2006-04-09,5PM,Hill,Holdenreid,0,Windrem,too murky
2006-04-09,5:50PM,Hill,Merritt,0,Windrem,NA
2006-04-09,6PM,kelsey,Merritt,0,Windrem,NA
2006-04-09,6:05PM,Kelsey,Soda Bay,0,Windrem,turquoise water
2006-04-09,5:15PM,McGaugh,Holdenreid,0,Windrem,too murky
2006-04-09,5:45PM,McGaugh,Merritt,2,Windrem,NA
2006-04-10,3PM,Adobe,Argonaut,0,Ishihara,NA
2006-04-10,3:05PM,Adobe,Finley East,0,Ishihara,NA
2006-04-10,11:15AM,Clover,2nd St,0,Geary,NA
2006-04-10,NA,Cole,ditch,1,Rapalyea,NA
2006-04-10,3:15PM,McGaugh,Finley East,5,Ishihara,culvert
2006-04-10,11AM,Middle,Hwy 20,0,Geary,NA
2006-04-10,11:35AM,Robinson,Old Rancheria Br,0,Geary,NA
2006-04-10,1PM,Schindler,Hwy 20,0,Barnes/Rett,"""water still very rapid and deep but clear--light showers."""
2006-04-11,7:25AM,Adobe,Finley East,0,Smythe,"cloudy, cool, visibility 1'; flow still high"
2006-04-11,7:15AM,Kelsey,Quercus Bridge,0,Smythe,"clloudy, cool, water clarity 1'. Flow still high."
2006-04-12,1PM,Clover,Bridge Arbor Rd,0,Geary,NA
2006-04-12,12PM,Manning,Hwy 175 & S. Main,0,Barnes/Rett,"""That creek used to have hitch in massive numbers when we first moved to Lake County in the 80's.  So far we haven't seen any there this year but the water is very deep, rapid and murky.  Also, appears there are some physical obstructions (debris) near the mouth of the creek"""
2006-04-12,12PM,Manning,"Tributary, Hwy 175 & S. Main",0,Barnes/Rett,"water deep, rapid & murky; raining"
2006-04-12,1:15PM,Middle,Hwy 20,0,Geary,NA
2006-04-12,1:40AM,Robinson,Old Rancheria Br,0,Geary,NA
2006-04-13,10:30AM,Adobe,Bell Hill,6,Ishihara,NA
2006-04-13,6:30PM,Adobe,Bell Hill,0,Ishihara,NA
2006-04-13,1:10PM,Cole,ditch,10,Rapalyea,NA
2006-04-14,7:25AM,Adobe,Finley East,0,Smythe,"partly cloudy, cool, visibility <6"", flow still high"
2006-04-14,10:30AM,Clover,2nd St,0,Geary,NA
2006-04-14,10:35AM,Cole,ditch & swamp,35,Rapalyea,NA
2006-04-14,7:15AM,Kelsey,Quercus Bridge,0,Smythe,"partly cloudy, cool, water clarity less than 6""'. Flow still high."
2006-04-14,11AM,Middle,Rancheria Rd,0,Geary,NA
2006-04-14,11:20AM,Robinson,Old Rancheria Br,0,Geary,NA
2006-04-14,11:45AM,Rodman Slough overflow,Westlake,10,Geary,"mixed with carp in small lake. ""The rodman slough overlfow made a little lake right beforeyou get to where they do the passion of christ play. This is not creek waterit is still water both carp and hitch are in these waters."""
2006-04-14,NA,Scotts,Hwy 20,50,Zavaro,accompanied by other fish
2006-04-15,10:20AM,Adobe,Bell Hill,200,Ishihara,leaping into culvert
2006-04-15,6:15PM,Adobe,below dam,200,Ishihara,spawning
2006-04-15,NA,Cole,Clark Dr,0,Eutenier,visibility too poor to see fish
2006-04-15,2PM,Hill,Merritt,50-100,Devoto,actively spawning
2006-04-15,2:15PM,Hill,Holdenreid,50-100,Devoto,"""spawning above and below the bridge.  Note that those above the bridge had to overcome a small waterfall to make it there.  Chi are actually spawning the entire length of Hill Creek from Holdenried to Merritt."""
2006-04-15,2:05PM,McGaugh Slough,Merritt,5-10,Devoto,"Spawning: ""Noteworthy here is the redd the spawning fish have worked out in the vegetation.  On the north side you will see chi moving up stream towards the bridge through the weeds."""
2006-04-15,2:10PM,McGaugh Slough,Holdenreid,100-200,Devoto,"""One often sees herons feed here but they usually fly off when a car or person approaches.  Two years ago,  when water was flowing through the vineyard, perhaps 50 chi made it to the bridge to spawn.  The fry were trapped under the bridge when the water receded but a farmer transported some of them to Hill Creek where they were absent at that time.   It is interesting that chi were able to spawn here since there is no gravel bar under the bridge, only deep black mud.  But perhaps they spawn in the weeds, just as lower down by Merritt Road, and the fry move under the bridge when the flowing water left."""
2006-04-15,NA,Pool,Hendricks Rd,100,Juntunen,spawning
2006-04-15,NA,Robinson,1199 Mockingbird Lane,35-40,March,"""They were also out in my neighbors hay field where theytraveled up a drain ditch near Zeno Road. """
2006-04-15,NA,Scotts,Hwy 20,50,Zavaro,accompanied by other fish
2006-04-15,NA,"""Stokes""","Stokes Ave, Nice",100+,Riggle,"""there has been a huge abundance of hitch coming through and spawning on the banks.  There is a lot this year compared to the last few years."""
2006-04-16,9:10AM,Adobe,Soda Bay,0,Windrem,murky
2006-04-16,9AM,Kelsey,Soda Bay,0,Windrem,murky
2006-04-16,9:20AM,Manning,Soda Bay,0,Windrem,murky
2006-04-17,4PM,Clover,2nd St,0,Geary,NA
2006-04-17,NA,Eickhoff,NA,?,Sieber-Davis,NA
2006-04-17,4:15PM,Middle,Hwy 20,0,Geary,NA
2006-04-17,3:30PM,Robinson,Old Rancheria Br,0,Geary,NA
2006-04-17,NA,"""Stokes""","Stokes Ave, Nice",1,Riggle,"""Tonight however there was only one fish in the creek, and it was in the culvert on stokes court.  It never came out."""
2006-04-18,7:25AM,Adobe,Finley East,0,Smythe,"clear, cold, visibility 6"", flow still high"
2006-04-18,11:30AM,Adobe,Bell Hill,100+,Geary,sunny day
2006-04-18,10AM,Clover,Bridge Arbor Rd,0,Geary,sunny day
2006-04-18,7:15AM,Kelsey,Quercus Bridge,0,Smythe,"clear, cold, water clarity 6"", flow still high"
2006-04-18,1:55PM,Robinson,Old Rancheria Br,3,Geary,clear water
2006-04-19,7:25AM,Adobe,Finley East,0,Smythe,"clear, cool, visibility 6"", flow still high"
2006-04-19,NA,Cole,ditch,9,Rapalyea,3 dying
2006-04-19,7:15AM,Kelsey,Quercus Bridge,0,Smythe,"clear, cool, water clarity 6"", flow still high"
2006-04-19,2PM,Schindler,Hwy 20,0,Barnes/Rett,water fairly deep & cloudy & rapid current; clear & sunny
2006-04-19,3:50PM,Schindler,Hwy 20,0,Geary,NA
2006-04-19,2:40PM,Seigler,NA,0,Geary,muddy water
2006-04-20,NA,Manning,Soda Bay,0,Snider,"""water too high & cloudy for observation"""
2006-04-21,7:25AM,Adobe,Finley East,0,Smythe,"clear, cool, visibility 1', flow still high"
2006-04-21,8:35AM,Adobe,Soda Bay,200+,Windrem,NA
2006-04-21,5:05PM,Adobe,Bell Hill,100s,Windrem,spawning above crossing
2006-04-21,2:30PM,Alley,Pitney Br,0,Windrem,NA
2006-04-21,2:20PM,Clover (bypass),Elk Mt Rd,0,Windrem,high flow
2006-04-21,8AM,Cole,Maes Bridge,0,Windrem,"high flow, murky"
2006-04-21,8:05AM,Cole,Clark Dr,0,Windrem,NA
2006-04-21,7:15AM,Kelsey,Quercus Bridge,0,Smythe,"clear, cool, water clarity 1', flow still high"
2006-04-21,8:21AM,Kelsey,Soda Bay,0,Windrem,"high flow, beautiful water"
2006-04-21,NA,Kelsey,Merritt,3,Emmot,NA
2006-04-21,2:25PM,Middle,Rancheria Rd,0,Windrem,high flow
2006-04-21,5PM,Thompson,Highland Springs,0,Windrem,NA
2006-04-22,11:30AM,Adobe,Finley East,5+,Windrem,NA
2006-04-22,NA,Manning,Soda Bay,50,Snider,"""water has clarified enough to see fish, on both sides of bridge"""
2006-04-23,NA,Adobe,Thomas Dr.,500+,Snider,NA
2006-04-23,9:05AM,Cole,Clark Dr,0,Windrem,NA
2006-04-23,3:30PM,Kelsey,low water crossing,34,Ambrose,"visibility 1'; ""near a pool with heavy willow cover"""
2006-04-23,9:15AM,Kelsey,Soda Bay,0,Windrem,NA
2006-04-23,NA,Manning,Soda Bay,50,Snider,NA
2006-04-24,7:25AM,Adobe,Finley East,0,Smythe,"cloudy, cool, visibility 2', flow still high"
2006-04-24,NA,Adobe,Bell Hill,0,Devoto,"""apparently they satisfied their procreatin needs and went back home to Clear Lake"
2006-04-24,NA,Cole,Clark Dr,0,Eutenier,"""the water is brown with clearing at the edges, running strongly"""
2006-04-24,NA,Hill,Merritt,0,Devoto,NA
2006-04-24,7:15AM,Kelsey,Quercus Bridge,0,Smythe,"cloudy, cool, water clarity 2', flow still high"
2006-04-24,3:30PM,Kelsey,NA,100,Geary,NA
2006-04-24,NA,McGaugh,Holdenreid,0,Devoto,NA
2006-04-25,NA,Hill,Merritt,0,Devoto,NA
2006-04-25,NA,Kelsey,NA,5,Hershey,NA
2006-04-25,NA,McGaugh,Holdenreid,0,Devoto,NA
2006-04-25,NA,Pool,Hendricks Rd,24,Juntunen,NA
2006-04-26,7:35AM,Adobe,Finley East,0,Smythe,"clear, cool, visibility 2+'"
2006-04-26,8:25AM,Adobe,Soda Bay,300+,Windrem,long line
2006-04-26,NA,Cole,Clark Dr,0,Eutenier,"""the water is brown with clearing at the edges, running strongly"""
2006-04-26,8:05AM,Cole,Maes,0,Windrem,murky
2006-04-26,8:10AM,Cole,Clark Dr,0,Windrem,murky
2006-04-26,NA,Hill,Merritt,0,Devoto,NA
2006-04-26,7:25AM,Kelsey,Quercus Bridge,0,Smythe,"clear, cool, water clarity 2+"
2006-04-26,8:20AM,Kelsey,Soda Bay,0,Windrem,clear
2006-04-26,10AM,Kelsey,NA,50,Geary,NA
2006-04-26,8:30AM,Manning,Soda Bay,0,Windrem,clear
2006-04-26,NA,McGaugh,Holdenreid,0,Devoto,NA
2006-04-26,NA,Pool,Hendricks Rd,36,Juntunen,NA
2006-04-27,NA,Adobe,Thomas Dr.,200,Snider,"""water seemed deep & sluggish, as if it were dammed down stream""in the deeper slower pools, not much activity"""
2006-04-27,1:10PM,Adobe,Finley East,250,Culbertson,water temp 64; Many many birds; we saw a pair of hawks
2006-04-27,8:25AM,Adobe,Soda Bay,500+,Windrem,clear
2006-04-27,3:30PM,Forbes,Main,75+,Stewart,some large ones in water next to Valero gas station
2006-04-27,7:15AM,kelsey,Quercus,0,Smythe,"clear, coool, water clarity 2+'"
2006-04-27,NA,Manning,Soda Bay,0,Snider,"""in deeper slow moving water; small sardine size fish seen mixed right in with the chi"""
2006-04-27,NA,Manning,Ackley,0,Snider,"""water seemed deep & sluggish, as if it were dammed down stream"""
2006-04-27,3PM,McGaugh Slough,Argonaut,0,Culbertson,water temp 64; Many many birds; we saw a pair of hawks
2006-04-28,8:13AM,Cole,Clark Dr,0,Windrem,murky
2006-04-28,NA,Hill,Merrit,0,Devoto,"""The water in the culverts was brackish and there were a couple of dead hitch.  I did find a very large number of fry in the culvert in the middle of the vineyard"""
2006-04-28,7:15AM,Kelsey,Quercus,0,Smythe,"clear, coool, water clarity 3'"
2006-04-28,7:25AM,Kelsey,Detention structure,0,Smythe,"clear, coool, water clarity 3'"
2006-04-28,7:40AM,Kelsey,Merritt Rd,0,Smythe,"clear, coool, water clarity 3'"
2006-04-28,8:20AM,Kelsey,Soda Bay,0,Windrem,clear; 2 mergansers
2006-04-28,8:32AM,Manning,Soda Bay,10,Windrem,streamer algae
2006-04-28,NA,McGaugh,Holdenreid,0,Devoto,"""has ceased to flow through the vineyard; The water in the culverts was brackish and there were a couple of dead hitch.  I did find a very large number of fry in the culvert in the middle of the vineyard"
2006-04-29,9:15AM,Forbes,Martin,0,Stewart,NA
2006-04-29,1:30PM,Middle,NA,0,Windrem,Kayaked with Steve Devoto from Rancheria Rd to Nice/Lucerne cutoff; saw carp but no hitch
2006-04-29,4PM,Scotts,"SV Rd, Blue Lakes outlet",0,Windrem,"carp, threadfin, turtle"
2006-04-29,4:20PM,Scotts,Eickhoff,0,Windrem,clear
2006-04-30,10:05AM,Adobe,Soda Bay,200,Windrem,NA
2006-04-30,10:15AM,Adobe,Finley East,0,Windrem,NA
2006-04-30,10:30AM,Adobe,Bell Hill,0,Windrem,some fry
2006-04-30,10AM,Kelsey,Soda Bay,0,Windrem,NA
2006-04-30,4:30PM,Manning,Soda Bay,25,Snider,"""also numerous small fish near the hitch"""
2006-05-01,2:55PM,Clover,Elk Mt Rd,0,Geary,clear & clean
2006-05-01,3:15PM,Middle,Hwy 20,0,Geary,dead shad
2006-05-01,3:50PM,Robinson,Old Rancheria Br,0,Geary,low water
2006-05-01,1PM,Schindler,Hwy 20,0,Barnes/Rett,beautiful sunny day & creek not too deep or rapid
2006-05-02,NA,Pool,NA,?,Juntunen,"""spotted eight fingerling.  No way of knowing whether or not they were Chi"""
2006-05-03,9:10AM,Adobe,Soda Bay,500+,Windrem,NA
2006-05-03,9AM,Kelsey,Soda Bay,0,Windrem,NA
2006-05-03,NA,Pool,NA,?,Juntunen,"""spotted two fingerling.  No way of knowing whether or not they were Chi"""
2006-05-04,8:35AM,Adobe,Soda Bay,300+,Windrem,NA
2006-05-04,8:30AM,Kelsey,Soda Bay,0,Windrem,NA
2006-05-05,NA,Adobe,Thomas,0,Snider,NA
2006-05-05,NA,Adobe,Argonaut,0,Snider,NA
2006-05-05,NA,Manning,Soda Bay,0,Snider,NA
2006-05-06,10AM,Adobe,Soda Bay,100,Brandon,annual field trip; closely clustered school of chi in deep pool below bridge (not moving); small groups under heavy bankside vegetation upstream
2006-05-06,9:15AM,Kelsey,Main St,5,Brandon,"annual field trip: group observed an otter 100yds downstream of the bridge, then (to our amazement) a group of chi working their way upstream. They made no attempt to use the fish ladder, and were stopped by the dam"
2006-05-06,11AM,McGaugh,Holdenreid,0,Brandon,annual field trip; thousands of fry trapped in a big puddle
2006-05-07,NA,Adobe,Thomas,0,Snider,NA
2006-05-07,NA,Adobe,Bell Hill,0,Snider,NA
2006-05-09,11AM,Seigler  Cyn,NA, 0,Voegtly,clear
2006-05-15,10:30AM,Schindler,Hwy 20,0,Barnes/Rett,"sunny day, conditions looked perfect; saw about a dozen bluegill"
2006-05-19,11:30AM,Adobe,Thomas Dr,0,Snider,"close examination of about 1/4 mile, water very clear"
2006-05-19,11AM,Manning,Soda Bay,0,Snider,NA
