creek,location,date,time,fish,observer,comments
Kelsey," Quercus bridge, upstream",2005-05-02,7:40AM,0,Smythe,"clear, cool, water clarity 4'"
Kelsey," Quercus bridge, upstream",2005-05-04,7:40AM,0,Smythe,"clear, cool, water clarity 4'"
Kelsey," Quercus bridge, upstream",2005-05-06,7:40AM,0,Smythe,"clear, cool, water clarity 4'"
Kelsey," Quercus bridge, upstream",2005-05-09,7:45AM,0,Smythe,"cloudy, cool, water clarity 0  water turbid from high flow"
Lyons ditch,Clark Dr,2005-03-06,6:58AM,0,Windrem,culvert too high
Lyons,Lakeshore Dr,2005-03-09,1PM,8,Gray,below lip
Manning,S Main & 175,2005-01-29,12PM,0,Barnes/Rett,"drainage ditch,.hitch observed in this location several years ago. water about 8 deep, clear and running well"
Manning,Soda Bay Road,2005-02-23,8:10AM,0,Windrem,high water
Manning,Soda Bay Rd,2005-02-24,8:10AM,0,Windrem,NA
Manning,Ackley,2005-03-01,10AM,0,Devoto,NA
Manning,"drainage ditch, S Main/175",2005-03-02,11:45AM,0,Barnes/Rett,NA
Manning,Soda Bay Rd,2005-03-06,7:27AM,0,Windrem,clear water
Manning,Matthews,2005-03-06,8:05AM,0,Windrem,clear
Manning,Soda Bay Rd,2005-03-08,9:12AM,25,Windrem,Hooray!
Manning,Ackley,2005-03-08,4PM,0,Devoto,NA
Manning,Matthews Rd,2005-03-09,12:30PM,0,Gray,NA
Manning,Ackley Rd,2005-03-12,12PM,0,Barnes/Rett,Talked with woman there who said she never has seen hitch that part of creek
Manning,Soda Bay Rd,2005-03-12,12:30PM,25,Barnes/Rett,"swimming along sides of creek, mostly under the overhanging bushes (may want to find out if there is obstruction between Soda Bay Rd. and Ackley Rd that keeps hitch from going further upstream)"
Manning,Soda Bay Rd,2005-03-14,1:17PM,100,Johnson,NA
Manning,Ackley Rd,2005-04-15,NA,0,Devoto,NA
McGough Slough,Soda Bay Rd,2005-03-09,10:45AM,10,Gray,low visibility
Middle,Rancheria Rd,2005-02-28,10AM,0,Geary,NA
Middle,Rancheria Rd,2005-03-04,9AM,0,Geary,cement work obstruction; 20 minutes obs
Middle,State Park,2005-03-04,12PM,0,Geary,NA
Middle,Rancheria Rd,2005-03-07,11:30AM,0,Geary,water clear
Middle,Highway 20,2005-03-08,10:30AM,150,Geary,"2 schools, 1 dead hitch"
Middle,Rancheria Rd,2005-03-08,11:15AM,0,Geary,NA
Middle,Highway 20,2005-03-09,NA,300,Gray,NA
Middle,Highway 20,2005-03-09,10:15AM,200,Geary,NA
Middle,Highway 20,2005-03-09,12:50PM,400+,Windrem,school in eddy
Middle,Rancheria Rd,2005-03-09,2PM,50,Gray,below barrier
Middle,Rancheria Rd,2005-04-12,NA,40,Geary,NA
Middle,NA,2005-04-18,NA,0,Geary,NA
Middle,NA,2005-04-19,NA,0,Geary,NA
Morrison,Hwy 20,2005-02-20,11:30AM,0,Barnes/Rett,NA
Robinson,970 Mockingbird,2005-03-04,9:40AM,0,Geary,clear
Robinson,1199 Mockingbird Lane,2005-03-06,NA,12,March,NA
Robinson,Old Robinson rez,2005-03-06,3PM,0,Geary,NA
Robinson,rez,2005-03-07,12PM,30,Geary,under bridge
Robinson,1199 Mockingbird Lane,2005-03-07,6PM,50,March,NA
Robinson,1199 Mockingbird Lane,2005-03-08,8AM,50,March,NA
Robinson,rez,2005-03-09,10:45AM,30,Geary,nice warm day
Robinson,Old Reservation bridge,2005-04-18,9:30,25,Geary,NA
Robinson,NA,2005-04-19,NA,0,Geary,NA
Schindler,Hwy 20 to Konocti View,2005-01-24,4PM,0,Barnes/Rett,water was clear and running well. There was good gravel in the creek and no apparent obstructions. There does seem to be a lack of vegetative cover around Schindler. Some restoration work has been done on the creek. There was some trash in the creek (we pulled out a couple electric fans).
Schindler,Hwy 20,2005-02-06,10AM,0,Barnes/Rett,NA
Schindler,Hwy 20,2005-02-19,1PM,0,Barnes/Rett,NA
Schindler,Hwy 20,2005-03-01,2:30PM,0,Barnes/Rett,NA
Schindler,Lake St,2005-03-01,3PM,0,Barnes/Rett,NA
Schindler,Highway 20,2005-03-09,NA,0,Gray,young boy said he saw a steelhead; I waited but couldnt see anything
Schindler,4th St,2005-03-09,10:30AM,0,Barnes/Rett,NA
Scotts,bridge n of Kellys Kampground ,2005-02-06,2PM,40,Pankovich,first sighting of 2005
Scotts,Scotts Creek Rd,2005-03-04,2:30PM,0,Geary,"clear, no obstruction"
Scotts ,tributary along Eickhoff Rd,2005-03-08,7:30PM,100+,Sieber-Davis,"Warm, calm, and balmy. Condition:     Creek seems to have more algae than in previous years. They are swimming upstream and hanging out beneath the bridges. "
Scotts,6210 SVR,2005-03-13,4PM,30,Buckner,"59 degrees, well covered with trees/rocks no visuall predators."
Scotts,5880 SVR,2005-03-14,NA,0,Woodbury,water temperature 15 C
Scotts,Door Creek,2005-03-14,NA,0,Woodbury,water temperature 15 C
Scotts,NA,2005-04-24,NA,0,Pankovich,threadfin shad by the millions
Seigler,Main St,2005-02-26,3:20PM,0,Geary,clear water
Seigler,Main St,2005-03-05,12:30PM,0,Geary,"clear, no obstruction"
Seigler ,Jessie St,2005-03-08,10AM,0,Brandon,NA
Seigler ,Perini Rd,2005-03-10,5:30PM,0,Voegtly,Visibility poor due to late afternoon light.
Seigler,Perini Rd,2005-03-10,5:30PM,0,Voegtly,poor visibility
Seigler ,Jessie St,2005-03-11,11AM,0,Brandon,NA
Seigler,Anderson Marsh,2005-03-12,7:30AM,0,Arndt,NA
Seigler,Anderson Marsh,2005-03-12,10AM,0,Arndt,"murky water, sediment "
Seigler ,Jessie St,2005-03-13,12:30PM,0,Brandon,NA
Seigler,Jessie St,2005-03-14,11:30AM,0,Arndt,NA
Seigler ,Jessie St,2005-03-15,9AM,0,Brandon,NA
Seigler,Anderson Marsh,2005-03-16,6PM,0,Arndt,NA
Seigler,Perini Rd,2005-03-17,9AM,0,Voegtly,good visibility
Seigler,Perini Rd,2005-03-18,10AM,0,Voegtly,"muddy, no visibility"
Seigler,Perini Rd,2005-03-18,11:30AM,0,Voegtly,"muddy, no visibility"
Seigler,Perini Rd,2005-03-22,4:45PM,0,Voegtly,"visibility poor, turbidity"
Seigler,Bryant St,2005-03-26,8:15AM,0,Nixon,water clarity has improved but still no hitch
Seigler,Perini Rd,2005-04-14,3:30PM,0,Voegtly,clear
Thompson,Matthews Rd,2005-03-15,9:15AM,0,Johnson,NA
